name,estimated_period_beginning,estimated_period_ending,descriptions,material_number,material_to_material,old_id,position,underage,,,,
,明治9年,昭和38年10月,,222,,183,,,,,,
,明治9年,昭和38年10月,,223,,184,,,,,,
,明治9年,昭和38年10月,,224,,185,,,,,,
,明治9年,昭和38年10月,,225,,186,,,,,,
車板（波）,明治9年,昭和38年10月,,226,,187,,,,,,
,明治9年,昭和38年10月,,227,,188,,,,,,
車板（波）,明治9年,昭和38年10月,,228,,189,,,,,,
縁葛,明治9年,昭和38年10月,,229,,190,,,,,,
獅子の足,明治9年,昭和38年10月,,230,,191,,,,,,
,明治9年,昭和38年10月,,231,,192,,,,,,
,明治9年,昭和38年10月,,232,,193,,,,,,
,明治9年,昭和38年10月,,233,,194,,,,,,
,明治9年,昭和38年10月,,234,,195,,,,,,
,明治9年,昭和38年10月,,235,,196,,,,,,
車板（龍）,明治9年,昭和38年10月,,236,554,555,197,B,,,,
虹梁（龍の尾）,明治9年,昭和38年10月,,237,,198,,,,,,
,明治9年,昭和38年10月,,238,,199,,,,,,
力士,明治9年,昭和38年10月,,239,,200,A,,,,,
車板（獅子）,明治9年,昭和38年10月,,241,455,551,552,553,571,572,202,A
,明治9年,昭和38年10月,,242,,203,,,,,,
脇障子,明治9年,昭和38年10月,,243,549,530,204,,,,,
馬,明治9年,昭和38年10月,,245,,206,,,,,,
,明治9年,昭和38年10月,,246,,207,,,,,,
,明治9年,昭和38年10月,,247,,208,,,,,,
,明治9年,昭和38年10月,,249,,210,,,,,,
木鼻,明治9年,昭和38年10月,,254,,木鼻(2),,,,,,
だんじり部材力士？,明治9年,昭和38年10月,だんじり部材力士？,257,,（未登録）,,,,,,
木鼻,明治9年,昭和38年10月,柱（後左）,270,,木鼻8,,,,,,
木鼻,明治9年,昭和38年10月,柱（後2後右）,271,,木鼻3,,,,,,
木鼻,明治9年,昭和38年10月,柱（書号不明）墨書「右中上六」,272,,木鼻5,,,,,,
木鼻,明治9年,昭和38年10月,柱（後2後右）,273,,木鼻1,,,,,,
木鼻,明治9年,昭和38年10月,木鼻の破片,274,,木鼻5-(1),,,,,,
木鼻,明治9年,昭和38年10月,柱（後左）,276,,木鼻6,,,,,,
木鼻,明治9年,昭和38年10月,,277,,205,,,,,,
,明治9年,昭和38年10月,,281,,（未登録）,,,,,,
,明治9年,昭和38年10月,大東市に移動中に破損,282,78,47-(2)-01,,,,,,
虹梁,明治9年,昭和38年10月,W121.H20.D15,284,285,577,300,A正,,,,
,明治9年,昭和38年10月,,285,284,577,300,,,,,
虹梁(鶴）,明治9年,昭和38年10月,内部真ん中にあった。,287,,211,,,,,,
,明治9年,昭和38年10月,,293,,未-2,,,,,,
,明治9年,昭和38年10月,,294,,未-5,,,,,,
,明治9年,昭和38年10月,,295,,未-9,,,,,,
,明治9年,昭和38年10月,,296,,未-14,,,,,,
,明治9年,昭和38年10月,,297,,未-10,,,,,,
,明治9年,昭和38年10月,,298,,未-4,,,,,,
,明治9年,昭和38年10月,,299,,未-16,,,,,,
,明治9年,昭和38年10月,,300,462,567,未-19,,,,,
鶏・番号不明,明治9年,昭和38年10月,,302,,（未登録）,,,,,,
,明治9年,昭和38年10月,,303,,未-8,,,,,,
,明治9年,昭和38年10月,,304,,未-1,,,,,,
車板,明治9年,昭和38年10月,,305,33,未-11,A側,,,,,
